epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786583000.215257,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.315236,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.415177,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.515151,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.615361,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.715162,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.815148,5164.6,1588.5,4407.0,11160.2,400.0
1786583000.915224,5164.6,1588.5,4407.0,11160.2,400.0
1786583001.015187,5164.6,1588.5,4407.0,11160.2,400.0
1786583001.115232,5164.6,1588.5,4407.0,11160.2,400.0
1786583001.215221,5164.6,1588.5,4407.0,11160.2,400.0
1786583001.315209,5164.6,1588.5,4407.0,11160.2,400.0
1786583001.415402,5162.6,1587.8,4507.2,11257.6,500.0
1786583001.515228,5162.6,1984.8,4507.2,11654.6,500.0
1786583001.615712,5162.6,2381.8,4607.4,12151.7,601.0
1786583001.715391,5164.6,1984.8,4607.4,11756.8,600.0
1786583001.815152,5164.6,1985.6,4607.4,11757.6,500.0
1786583001.915145,5164.6,1985.6,4507.2,11657.4,500.0
1786583002.015146,5164.6,1588.5,4507.2,11260.3,400.0
1786583002.115163,5164.6,1588.5,4507.2,11260.3,400.0
1786583002.215317,5164.6,1588.5,4507.2,11260.3,400.0
1786583002.315212,5164.6,1588.5,4507.2,11260.3,400.0
1786583002.415239,5164.6,1588.5,4407.0,11160.2,400.0
1786583002.515190,5164.6,1588.5,4407.0,11160.2,400.0
1786583002.615180,5164.6,1588.5,4407.0,11160.2,400.0
1786583002.715250,5164.6,1588.5,4407.0,11160.2,400.0
1786583002.815152,5164.6,1588.5,4407.0,11160.2,400.0
1786583002.915318,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.015157,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.115160,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.215249,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.315439,5164.6,1587.8,4507.2,11259.7,400.0
1786583003.415154,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.515160,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.615169,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.715154,5164.6,1588.5,4407.0,11160.2,400.0
1786583003.815516,5164.6,1587.8,4507.2,11259.7,400.0
1786583003.915450,5164.6,1587.8,4507.2,11259.7,400.0
1786583004.015155,5164.6,1588.5,4507.2,11260.3,400.0
1786583004.115154,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.215283,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.315185,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.415172,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.515176,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.615182,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.715185,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.815178,5164.6,1588.5,4407.0,11160.2,400.0
1786583004.915174,5164.6,1191.4,4407.0,10763.0,400.0
1786583005.015209,5164.6,1191.4,4407.0,10763.0,400.0
1786583005.115391,5164.6,1588.5,4407.0,11160.2,400.0
1786583005.215255,5164.6,1588.5,4407.0,11160.2,400.0
1786583005.315195,5164.6,1588.5,4407.0,11160.2,400.0
1786583005.415197,5164.6,1588.5,4407.0,11160.2,400.0
1786583005.515178,5164.6,1588.5,4407.0,11160.2,400.0
1786583005.615230,5164.6,1588.5,4407.0,11160.2,400.0
1786583005.715186,5164.6,1191.4,4407.0,10763.0,400.0
1786583005.815181,5164.6,1191.4,4407.0,10763.0,400.0
1786583005.915180,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.015168,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.115189,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.215327,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.315193,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.415220,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.515222,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.615176,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.715173,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.815223,5164.6,1191.4,4407.0,10763.0,400.0
1786583006.915399,5164.6,1588.5,4507.2,11260.3,500.0
1786583007.015234,5164.6,1985.6,4507.2,11657.4,500.0
1786583007.115516,5164.6,2381.8,4607.4,12153.8,601.0
1786583007.215483,5164.6,1985.6,4607.4,11757.6,601.0
1786583007.315189,5164.6,1985.6,4607.4,11757.6,500.0
1786583007.415180,5164.6,1985.6,4507.2,11657.4,500.0
1786583007.515150,5164.6,1588.5,4507.2,11260.3,500.0
1786583007.615197,5164.6,1588.5,4507.2,11260.3,400.0
1786583007.715220,5164.6,1587.8,4507.2,11259.7,400.0
1786583007.815216,5164.6,1587.8,4507.2,11259.7,400.0
