epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786585104.376177,5164.6,1588.5,4507.2,11260.3,400.6
1786585104.476219,5164.6,1588.5,4407.0,11160.2,400.6
1786585104.576333,5164.6,1588.5,4407.0,11160.2,400.6
1786585104.676437,5164.6,1588.5,4507.2,11260.3,400.6
1786585104.776267,5164.6,1588.5,4407.0,11160.2,400.6
1786585104.876368,5164.6,1588.5,4507.2,11260.3,400.6
1786585104.976280,5164.6,1588.5,4507.2,11260.3,400.6
1786585105.076249,5164.6,1588.5,4507.2,11260.3,400.6
1786585105.176239,5164.6,1588.5,4507.2,11260.3,400.0
1786585105.276235,5164.6,1588.5,4407.0,11160.2,400.6
1786585105.376228,5164.6,1588.5,4407.0,11160.2,400.0
1786585105.476242,5164.6,1588.5,4407.0,11160.2,400.6
1786585105.576268,5164.6,1588.5,4407.0,11160.2,400.6
1786585105.676254,5164.6,1588.5,4407.0,11160.2,400.6
1786585105.776230,5164.6,1588.5,4407.0,11160.2,400.6
1786585105.876336,5164.6,1588.5,4507.2,11260.3,400.6
1786585105.976273,5164.6,1588.5,4507.2,11260.3,400.6
1786585106.076380,5164.6,1588.5,4507.2,11260.3,400.0
1786585106.176291,5164.6,1588.5,4507.2,11260.3,400.0
1786585106.276227,5164.6,1588.5,4507.2,11260.3,400.6
1786585106.376334,5164.6,1588.5,4407.0,11160.2,400.6
1786585106.476659,5164.6,1984.8,4507.2,11656.6,500.8
1786585106.576540,5164.6,1984.8,4607.4,11756.8,500.8
1786585106.676498,5164.6,2381.8,4707.5,12253.9,601.0
1786585106.776228,5164.6,2382.7,4607.4,12154.7,601.0
1786585106.876311,5164.6,2382.7,4607.4,12154.7,601.0
1786585106.976251,5164.6,2382.7,4607.4,12154.7,601.0
1786585107.076445,5164.6,2778.7,4707.5,12650.9,601.0
1786585107.176535,5164.6,2778.7,4707.5,12650.9,601.0
1786585107.276411,5164.6,2778.7,4707.5,12650.9,601.0
1786585107.376272,5164.6,2779.8,4707.5,12652.0,601.0
1786585107.476177,5164.6,2382.7,4607.4,12154.7,500.0
1786585107.576267,5164.6,1985.6,4607.4,11757.6,500.8
1786585107.676919,5164.6,2382.7,4607.4,12154.7,601.0
1786585107.776329,5164.6,2382.7,4707.5,12254.9,601.0
1786585107.876736,5164.6,2779.8,4807.7,12752.2,701.1
1786585107.976274,5164.6,2382.7,4707.5,12254.9,601.0
1786585108.076159,5164.6,2382.7,4707.5,12254.9,601.0
1786585108.176255,5164.6,1985.6,4607.4,11757.6,500.8
1786585108.276177,5164.6,1985.6,4607.4,11757.6,500.8
1786585108.376169,5164.6,1985.6,4507.2,11657.4,500.0
1786585108.476192,5164.6,1588.5,4507.2,11260.3,400.6
1786585108.576161,5164.6,1588.5,4507.2,11260.3,400.0
1786585108.676223,5164.6,1588.5,4507.2,11260.3,400.6
1786585108.776181,5164.6,1588.5,4507.2,11260.3,400.6
1786585108.876384,5164.6,1587.8,4507.2,11259.7,500.8
1786585108.976195,5164.6,1588.5,4507.2,11260.3,400.6
1786585109.076172,5164.6,1588.5,4507.2,11260.3,400.6
1786585109.176207,5164.6,1588.5,4507.2,11260.3,400.6
1786585109.276159,5164.6,1588.5,4507.2,11260.3,400.6
1786585109.376166,5164.6,1588.5,4407.0,11160.2,400.6
