epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786582185.999174,5164.6,1587.8,4407.0,11159.5,400.0
1786582186.099160,5164.6,1587.8,4407.0,11159.5,400.0
1786582186.199218,5164.6,1587.8,4407.0,11159.5,400.0
1786582186.299184,5164.6,1588.5,4407.0,11160.2,400.0
1786582186.399134,5164.6,1588.5,4407.0,11160.2,400.0
1786582186.499164,5164.6,1588.5,4407.0,11160.2,400.0
1786582186.599143,5164.6,1588.5,4407.0,11160.2,400.0
1786582186.699127,5164.6,1191.4,4407.0,10763.0,400.0
1786582186.799128,5164.6,1191.4,4407.0,10763.0,400.0
1786582186.899150,5164.6,1191.4,4407.0,10763.0,400.0
1786582186.999164,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.099174,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.199238,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.299157,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.399186,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.499172,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.599404,5164.6,1588.5,4407.0,11160.2,400.0
1786582187.699326,5164.6,1588.5,4407.0,11160.2,400.0
1786582187.799138,5164.6,1588.5,4407.0,11160.2,400.0
1786582187.899118,5164.6,1191.4,4407.0,10763.0,400.0
1786582187.999157,5164.6,1191.4,4407.0,10763.0,400.0
1786582188.099182,5164.6,1191.4,4407.0,10763.0,400.0
1786582188.199230,5164.6,1588.5,4407.0,11160.2,400.0
1786582188.299152,5164.6,1191.4,4407.0,10763.0,400.0
1786582188.399349,5164.6,1587.8,4507.2,11259.7,400.0
1786582188.499213,5164.6,1984.8,4507.2,11656.6,500.8
1786582188.599865,5164.6,2381.8,4607.4,12153.8,601.0
1786582188.699435,5164.6,1985.6,4607.4,11757.6,600.0
1786582188.799146,5164.6,1985.6,4607.4,11757.6,500.0
1786582188.899144,5164.6,1985.6,4507.2,11657.4,500.0
1786582188.999139,5164.6,1588.5,4507.2,11260.3,500.0
1786582189.099147,5164.6,1588.5,4507.2,11260.3,400.0
1786582189.199258,5164.6,1588.5,4507.2,11260.3,400.0
1786582189.299163,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.399277,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.499147,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.599123,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.699256,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.799119,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.899284,5164.6,1588.5,4407.0,11160.2,400.0
1786582189.999150,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.099175,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.199256,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.299172,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.399182,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.499449,5164.6,1588.5,4507.2,11260.3,400.6
1786582190.599159,5164.6,1588.5,4407.0,11160.2,400.6
1786582190.699165,5164.6,1588.5,4407.0,11160.2,400.6
1786582190.799176,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.899173,5164.6,1588.5,4407.0,11160.2,400.0
1786582190.999166,5164.6,1588.5,4407.0,11160.2,400.0
1786582191.099167,5164.6,1588.5,4407.0,11160.2,400.0
1786582191.199260,5164.6,1588.5,4407.0,11160.2,400.0
1786582191.299153,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.399321,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.499154,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.599151,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.699260,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.799158,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.899152,5164.6,1191.4,4407.0,10763.0,400.0
1786582191.999149,5164.6,1191.4,4407.0,10763.0,400.0
1786582192.099360,5164.6,1588.5,4407.0,11160.2,400.0
1786582192.199262,5164.6,1588.5,4407.0,11160.2,400.0
1786582192.299158,5164.6,1588.5,4407.0,11160.2,400.0
1786582192.399154,5164.6,1588.5,4407.0,11160.2,400.0
1786582192.499183,5164.6,1588.5,4407.0,11160.2,400.0
1786582192.599154,5164.6,1191.4,4407.0,10763.0,400.0
1786582192.699154,5164.6,1191.4,4407.0,10763.0,400.0
1786582192.799163,5164.6,1191.4,4407.0,10763.0,400.0
1786582192.899159,5164.6,1191.4,4407.0,10763.0,400.0
1786582192.999159,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.099163,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.199265,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.299154,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.399185,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.499179,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.599154,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.699275,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.799173,5164.6,1191.4,4407.0,10763.0,400.0
1786582193.899416,5164.6,1588.5,4507.2,11260.3,400.0
1786582193.999191,5164.6,1985.6,4507.2,11657.4,500.0
1786582194.099474,5164.6,1985.6,4607.4,11757.6,601.0
1786582194.199444,5164.6,2382.7,4607.4,12154.7,601.0
1786582194.299130,5164.6,1985.6,4607.4,11757.6,500.8
1786582194.399135,5164.6,1985.6,4507.2,11657.4,500.0
1786582194.499168,5164.6,1588.5,4507.2,11260.3,500.8
1786582194.599133,5164.6,1588.5,4507.2,11260.3,400.6
1786582194.699149,5164.6,1588.5,4507.2,11260.3,400.0
1786582194.799158,5164.6,1588.5,4407.0,11160.2,400.0
1786582194.899366,5164.6,1588.5,4407.0,11160.2,400.0
1786582194.999144,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.099158,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.199224,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.299155,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.399192,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.499170,5164.6,1588.5,4407.0,11160.2,400.6
1786582195.599164,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.699278,5164.6,1588.5,4407.0,11160.2,400.0
1786582195.799211,5164.6,1191.4,4407.0,10763.0,400.0
1786582195.899155,5164.6,1191.4,4407.0,10763.0,400.0
1786582195.999157,5164.6,1191.4,4407.0,10763.0,400.0
1786582196.099156,5164.6,1191.4,4407.0,10763.0,400.0
1786582196.199250,5164.6,1191.4,4407.0,10763.0,400.6
1786582196.299158,5164.6,1191.4,4407.0,10763.0,400.0
1786582196.399372,5164.6,1588.5,4407.0,11160.2,400.0
1786582196.499174,5164.6,1588.5,4407.0,11160.2,400.0
1786582196.599177,5164.6,1588.5,4407.0,11160.2,400.0
1786582196.699150,5164.6,1588.5,4407.0,11160.2,400.0
1786582196.799161,5164.6,1588.5,4407.0,11160.2,400.6
1786582196.899163,5164.6,1588.5,4407.0,11160.2,400.0
1786582196.999145,5164.6,1191.4,4407.0,10763.0,400.0
1786582197.099154,5164.6,1191.4,4407.0,10763.0,400.0
1786582197.199248,5164.6,1191.4,4407.0,10763.0,400.0
1786582197.299177,5164.6,1191.4,4407.0,10763.0,400.6
1786582197.399183,5164.6,1191.4,4407.0,10763.0,400.6
1786582197.499170,5164.6,1191.4,4407.0,10763.0,400.0
1786582197.599165,5164.6,1191.4,4407.0,10763.0,400.6
1786582197.699275,5164.6,1191.4,4407.0,10763.0,400.6
1786582197.799150,5164.6,1191.4,4407.0,10763.0,400.0
1786582197.899151,5164.6,1191.4,4407.0,10763.0,400.0
1786582197.999156,5164.6,1191.4,4407.0,10763.0,400.0
1786582198.099158,5164.6,1191.4,4407.0,10763.0,400.0
1786582198.199322,5164.6,1191.4,4407.0,10763.0,400.0
1786582198.299178,5164.6,1191.4,4407.0,10763.0,400.0
1786582198.399159,5164.6,1191.4,4407.0,10763.0,400.0
1786582198.499163,5164.6,1191.4,4407.0,10763.0,400.0
1786582198.599417,5164.6,1588.5,4407.0,11160.2,400.0
1786582198.699167,5164.6,1588.5,4407.0,11160.2,400.0
1786582198.799183,5164.6,1588.5,4407.0,11160.2,400.0
1786582198.899192,5164.6,1588.5,4407.0,11160.2,400.0
1786582198.999142,5164.6,1588.5,4407.0,11160.2,400.0
1786582199.099152,5164.6,1191.4,4407.0,10763.0,400.0
1786582199.199182,5164.6,1191.4,4407.0,10763.0,400.0
1786582199.299158,5164.6,1191.4,4407.0,10763.0,400.0
1786582199.399375,5164.6,1587.8,4507.2,11259.7,400.6
1786582199.499183,5164.6,1984.8,4507.2,11656.6,500.8
1786582199.599720,5164.6,1984.8,4607.4,11756.8,601.0
1786582199.699517,5164.6,1985.6,4607.4,11757.6,600.0
1786582199.799228,5164.6,1985.6,4607.4,11757.6,500.0
1786582199.899209,5164.6,1985.6,4507.2,11657.4,500.0
1786582199.999135,5164.6,1588.5,4507.2,11260.3,400.0
1786582200.099149,5164.6,1588.5,4507.2,11260.3,400.0
1786582200.199224,5164.6,1588.5,4507.2,11260.3,400.0
1786582200.299170,5164.6,1588.5,4407.0,11160.2,400.6
1786582200.399177,5164.6,1588.5,4407.0,11160.2,400.0
1786582200.499446,5164.6,1588.5,4507.2,11260.3,400.6
1786582200.599157,5164.6,1588.5,4507.2,11260.3,400.0
1786582200.699138,5164.6,1588.5,4407.0,11160.2,400.6
1786582200.799131,5164.6,1588.5,4407.0,11160.2,400.6
1786582200.899397,5164.6,1588.5,4407.0,11160.2,400.0
1786582200.999606,5164.6,1587.8,4507.2,11259.7,500.8
1786582201.099139,5164.6,1588.5,4507.2,11260.3,500.0
1786582201.199139,5164.6,1588.5,4507.2,11260.3,400.0
1786582201.299106,5164.6,1588.5,4507.2,11260.3,400.0
1786582201.399153,5164.6,1588.5,4507.2,11260.3,400.0
1786582201.499157,5164.6,1588.5,4407.0,11160.2,400.0
1786582201.599146,5164.6,1588.5,4407.0,11160.2,400.0
1786582201.699286,5164.6,1588.5,4407.0,11160.2,400.0
1786582201.799146,5164.6,1588.5,4407.0,11160.2,400.0
1786582201.899141,5164.6,1588.5,4407.0,11160.2,400.0
1786582201.999147,5164.6,1588.5,4407.0,11160.2,400.0
1786582202.099151,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.199191,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.299162,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.399163,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.499148,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.599226,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.699131,5164.6,1191.4,4407.0,10763.0,400.0
1786582202.799099,5164.6,1191.4,4407.0,10763.0,400.0
