epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786583465.865435,5164.6,1588.5,4507.2,11260.3,500.8
1786583465.965451,5164.6,1588.5,4507.2,11260.3,400.0
1786583466.065441,5164.6,1588.5,4507.2,11260.3,400.0
1786583466.165484,5164.6,1588.5,4407.0,11160.2,400.0
1786583466.265450,5164.6,1588.5,4407.0,11160.2,400.0
1786583466.365437,5164.6,1588.5,4407.0,11160.2,400.0
1786583466.465434,5164.6,1588.5,4407.0,11160.2,400.0
1786583466.565561,5164.6,1588.5,4507.2,11260.3,400.0
1786583466.665437,5164.6,1588.5,4507.2,11260.3,400.0
1786583466.765448,5164.6,1588.5,4507.2,11260.3,400.0
1786583466.865681,5164.6,1588.5,4507.2,11260.3,400.0
1786583466.965424,5164.6,1588.5,4507.2,11260.3,400.0
1786583467.065416,5164.6,1588.5,4407.0,11160.2,400.0
1786583467.165466,5164.6,1588.5,4407.0,11160.2,400.0
1786583467.265476,5164.6,1587.8,4407.0,11159.5,400.0
1786583467.365423,5164.6,1587.8,4407.0,11159.5,400.6
1786583467.465430,5164.6,1587.8,4407.0,11159.5,400.0
1786583467.565576,5164.6,1587.8,4507.2,11259.7,400.6
1786583467.665429,5164.6,1588.5,4507.2,11260.3,400.6
1786583467.765410,5164.6,1588.5,4507.2,11260.3,400.6
1786583467.865590,5164.6,1587.8,4507.2,11259.7,500.8
1786583467.965451,5164.6,1984.8,4507.2,11656.6,500.8
1786583468.066202,5162.6,2381.8,4607.4,12151.7,601.0
1786583468.165701,5164.6,2381.8,4707.5,12253.9,601.0
1786583468.265502,5164.6,1984.8,4607.4,11756.8,601.0
1786583468.365434,5164.6,1984.8,4607.4,11756.8,500.8
1786583468.465431,5164.6,1984.8,4507.2,11656.6,500.8
1786583468.565565,5164.6,1984.8,4507.2,11656.6,500.8
1786583468.665486,5164.6,1984.8,4507.2,11656.6,500.8
1786583468.765524,5164.6,1587.8,4507.2,11259.7,400.6
1786583468.865459,5164.6,1587.8,4507.2,11259.7,400.6
1786583468.965469,5164.6,1587.8,4507.2,11259.7,400.0
1786583469.065525,5164.6,1587.8,4507.2,11259.7,400.6
1786583469.165602,5164.6,1587.8,4507.2,11259.7,400.6
1786583469.265491,5164.6,1588.5,4507.2,11260.3,400.6
1786583469.365463,5164.6,1587.8,4407.0,11159.5,400.6
1786583469.465440,5164.6,1588.5,4407.0,11160.2,400.6
1786583469.565558,5164.6,1587.8,4507.2,11259.7,400.6
1786583469.665585,5164.6,1587.8,4507.2,11259.7,400.6
1786583469.765481,5164.6,1588.5,4507.2,11260.3,400.0
1786583469.865452,5164.6,1588.5,4507.2,11260.3,400.0
1786583469.965413,5164.6,1588.5,4407.0,11160.2,400.6
1786583470.065485,5164.6,1588.5,4407.0,11160.2,400.6
1786583470.165449,5164.6,1588.5,4407.0,11160.2,400.6
1786583470.265600,5164.6,1588.5,4407.0,11160.2,400.6
1786583470.365500,5164.6,1588.5,4407.0,11160.2,400.6
1786583470.465537,5164.6,1588.5,4407.0,11160.2,400.6
1786583470.565612,5164.6,1588.5,4507.2,11260.3,400.6
1786583470.665513,5164.6,1588.5,4507.2,11260.3,400.6
1786583470.765540,5164.6,1588.5,4507.2,11260.3,400.6
1786583470.865479,5164.6,1588.5,4407.0,11160.2,400.0
1786583470.965483,5164.6,1588.5,4407.0,11160.2,400.6
1786583471.065531,5164.6,1588.5,4407.0,11160.2,400.0
1786583471.165481,5164.6,1588.5,4407.0,11160.2,400.0
1786583471.265512,5164.6,1588.5,4407.0,11160.2,400.0
1786583471.365616,5164.6,1588.5,4407.0,11160.2,400.0
1786583471.465488,5164.6,1588.5,4407.0,11160.2,400.0
1786583471.565577,5164.6,1587.8,4507.2,11259.7,400.0
1786583471.665572,5164.6,1588.5,4507.2,11260.3,400.0
1786583471.765509,5164.6,1588.5,4507.2,11260.3,400.0
1786583471.865493,5164.6,1587.8,4407.0,11159.5,400.0
1786583471.965476,5164.6,1587.8,4407.0,11159.5,400.0
1786583472.065499,5164.6,1587.8,4407.0,11159.5,400.0
1786583472.165477,5164.6,1587.8,4407.0,11159.5,400.0
1786583472.265538,5164.6,1587.8,4407.0,11159.5,400.0
1786583472.365500,5164.6,1587.8,4407.0,11159.5,400.0
