epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786590135.975995,4767.4,4763.5,6420.5,15951.4,1602.6
1786590136.076406,4767.4,4763.5,6420.5,15951.4,1602.6
1786590136.176110,4767.4,4763.5,6420.5,15951.4,1602.6
1786590136.276541,4767.4,4763.5,6320.2,15851.0,1502.4
1786590136.376769,4767.4,4765.4,6320.2,15853.0,1502.4
1786590136.476645,4370.1,4765.4,6320.2,15455.7,1502.4
1786590136.576723,4370.1,4763.5,6320.2,15453.8,1502.4
1786590136.676837,4767.4,4763.5,6320.2,15851.0,1502.4
1786590136.776583,4767.4,4763.5,6320.2,15851.0,1502.4
1786590136.876372,4767.4,5162.6,6320.2,16250.1,1502.4
1786590136.976449,4767.4,5160.5,6320.2,16248.0,1602.6
1786590137.076460,4370.1,4763.5,6320.2,15453.8,1502.4
1786590137.176521,4370.1,4763.5,6320.2,15453.8,1502.4
1786590137.276557,4767.4,4763.5,6320.2,15851.0,1502.4
1786590137.376529,4767.4,4763.5,6320.2,15851.0,1602.6
1786590137.475970,4767.4,4763.5,6320.2,15851.0,1602.6
1786590137.576552,4767.4,4763.5,6320.2,15851.0,1502.4
1786590137.676321,4767.4,4763.5,6320.2,15851.0,1602.6
1786590137.776345,4767.4,4763.5,6320.2,15851.0,1602.6
1786590137.875750,4370.1,4765.4,6320.2,15455.7,1502.4
1786590137.976393,4370.1,4763.5,6219.8,15353.4,1502.4
1786590138.075601,4370.1,4368.3,6219.8,14958.2,1402.2
1786590138.175537,4370.1,4368.3,6119.5,14857.9,1402.2
1786590138.275462,4370.1,3971.2,5918.9,14260.2,1302.1
1786590138.376319,4370.1,3969.6,5809.3,14149.0,1201.9
1786590138.475545,4370.1,3969.6,5809.3,14149.0,1201.9
1786590138.575562,4370.1,3969.6,5809.3,14149.0,1201.9
1786590138.676119,4370.1,3969.6,5709.1,14048.8,1101.8
1786590138.776077,4368.3,3969.6,5818.6,14156.5,1201.9
1786590138.875957,4370.1,3969.6,5818.6,14158.2,1201.9
1786590138.975585,4370.1,3969.6,5818.6,14158.2,1201.9
1786590139.076427,4370.1,3969.6,5818.6,14158.2,1201.9
1786590139.176538,4368.3,3969.6,5918.9,14256.8,1302.1
1786590139.276556,4368.3,4366.6,6019.2,14754.1,1302.1
1786590139.376794,4368.3,4366.6,6119.5,14854.4,1402.2
1786590139.476426,4368.3,4366.6,6119.5,14854.4,1502.4
1786590139.575754,4368.3,4763.5,6219.8,15351.7,1502.4
1786590139.676512,4368.3,4763.5,6320.2,15452.0,1502.4
1786590139.776249,4368.3,4763.5,6320.2,15452.0,1502.4
1786590139.876657,4368.3,4763.5,6320.2,15452.0,1502.4
1786590139.976517,4765.4,4763.5,6320.2,15849.1,1602.6
1786590140.076159,4767.4,4763.5,6320.2,15851.0,1602.6
1786590140.176644,4767.4,4763.5,6320.2,15851.0,1602.6
1786590140.276595,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.376371,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.476092,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.576656,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.676580,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.776246,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.875885,4767.4,4763.5,6420.5,15951.4,1602.6
1786590140.976119,4767.4,4763.5,6420.5,15951.4,1602.6
