epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786587085.387989,3971.2,793.9,4507.2,9272.3,500.8
1786587085.488045,3574.1,793.9,4507.2,8875.2,400.6
1786587085.588003,3574.1,793.9,4407.0,8775.0,400.6
1786587085.688049,3971.2,793.9,4407.0,9172.2,400.0
1786587085.787963,3971.2,793.9,4407.0,9172.2,400.6
1786587085.887972,3971.2,397.0,4407.0,8775.2,400.6
1786587085.987931,3575.5,397.0,4407.0,8379.5,400.6
1786587086.088087,3575.5,397.0,4407.0,8379.5,400.6
1786587086.187975,3972.8,397.0,4407.0,8776.8,400.6
1786587086.288007,3575.5,397.0,4407.0,8379.5,400.0
1786587086.387996,3575.5,397.0,4407.0,8379.5,400.6
1786587086.488112,3575.5,397.0,4407.0,8379.5,400.6
1786587086.587974,3575.5,397.0,4407.0,8379.5,400.6
1786587086.688035,3575.5,397.0,4407.0,8379.5,400.6
1786587086.788354,3972.8,793.9,4407.0,9173.8,400.6
1786587086.887985,3575.5,397.0,4407.0,8379.5,400.6
1786587086.987922,3972.8,397.0,4407.0,8776.8,400.6
1786587087.087936,3574.1,397.0,4407.0,8378.1,400.0
1786587087.187914,3574.1,397.0,4407.0,8378.1,400.6
1786587087.287969,3574.1,397.0,4407.0,8378.1,400.6
1786587087.388131,3574.1,397.0,4407.0,8378.1,400.6
1786587087.488008,3574.1,397.0,4407.0,8378.1,400.6
1786587087.587986,3574.1,397.0,4407.0,8378.1,400.6
1786587087.688067,3574.1,397.0,4407.0,8378.1,400.6
1786587087.787984,3971.2,397.0,4407.0,8775.2,400.6
1786587087.888068,3574.1,397.0,4407.0,8378.1,400.6
1786587087.987969,3574.1,397.0,4407.0,8378.1,400.0
1786587088.088173,3574.1,397.0,4407.0,8378.1,400.6
1786587088.187973,3574.1,397.0,4407.0,8378.1,400.6
1786587088.288087,3574.1,397.0,4407.0,8378.1,400.6
1786587088.388073,3574.1,397.0,4407.0,8378.1,400.6
1786587088.488103,3574.1,397.0,4407.0,8378.1,400.0
1786587088.588264,3574.1,397.0,4407.0,8378.1,400.6
1786587088.688023,3971.2,397.0,4407.0,8775.2,400.6
1786587088.788061,3574.1,397.0,4407.0,8378.1,400.6
1786587088.887970,3971.2,397.0,4407.0,8775.2,400.6
1786587088.988198,3971.2,397.0,4407.0,8775.2,400.6
1786587089.088058,3575.5,397.0,4407.0,8379.5,400.6
1786587089.188018,3575.5,397.0,4407.0,8379.5,400.6
1786587089.288026,3575.5,397.0,4407.0,8379.5,400.6
1786587089.388133,3574.1,397.0,4407.0,8378.1,400.6
1786587089.488056,3575.5,397.0,4407.0,8379.5,400.6
1786587089.587971,3574.1,397.0,4407.0,8378.1,400.6
1786587089.688066,3574.1,397.0,4407.0,8378.1,400.6
1786587089.788224,3971.2,793.9,4407.0,9172.2,400.6
1786587089.888188,3971.2,793.9,4507.2,9272.3,500.8
1786587089.988477,3971.2,793.9,4507.2,9272.3,601.0
1786587090.088698,3971.2,1190.9,4607.4,9769.4,601.0
1786587090.188040,3971.2,1190.9,4607.4,9769.4,601.0
1786587090.287967,3971.2,793.9,4507.2,9272.3,500.0
1786587090.387969,3971.2,793.9,4507.2,9272.3,500.0
1786587090.488102,3574.1,793.9,4507.2,8875.2,500.8
1786587090.588037,3574.1,793.9,4407.0,8775.0,400.6
1786587090.687980,3574.1,793.9,4407.0,8775.0,400.0
1786587090.787978,3971.2,793.9,4407.0,9172.2,400.6
1786587090.888005,3574.1,793.9,4407.0,8775.0,400.6
1786587090.988011,3574.1,397.0,4407.0,8378.1,400.6
1786587091.087976,3574.1,397.0,4407.0,8378.1,400.6
1786587091.187952,3574.1,397.0,4407.0,8378.1,400.6
1786587091.288220,3574.1,793.9,4407.0,8775.0,400.6
1786587091.388074,3574.1,793.9,4407.0,8775.0,400.6
1786587091.487925,3574.1,397.0,4407.0,8378.1,400.6
1786587091.587929,3574.1,397.0,4407.0,8378.1,400.6
1786587091.687983,3574.1,397.0,4407.0,8378.1,400.6
1786587091.787968,3574.1,397.0,4407.0,8378.1,400.6
1786587091.887983,3574.1,397.0,4407.0,8378.1,400.6
1786587091.987969,3574.1,397.0,4407.0,8378.1,400.6
1786587092.088042,3574.1,397.0,4407.0,8378.1,400.6
1786587092.187986,3574.1,397.0,4407.0,8378.1,400.6
1786587092.288024,3574.1,397.0,4407.0,8378.1,400.6
1786587092.388036,3574.1,397.0,4407.0,8378.1,400.6
1786587092.488224,3574.1,397.0,4407.0,8378.1,400.0
1786587092.588151,3574.1,397.0,4407.0,8378.1,400.6
1786587092.688003,3574.1,397.0,4407.0,8378.1,400.0
1786587092.788023,3574.1,397.0,4407.0,8378.1,400.6
1786587092.888105,3574.1,397.0,4407.0,8378.1,400.6
1786587092.987956,3574.1,397.0,4407.0,8378.1,400.6
1786587093.087970,3574.1,397.0,4407.0,8378.1,400.6
1786587093.187960,3574.1,397.0,4407.0,8378.1,400.0
1786587093.287990,3574.1,397.0,4407.0,8378.1,400.6
1786587093.388042,3574.1,397.0,4407.0,8378.1,400.6
1786587093.488168,3574.1,397.0,4407.0,8378.1,400.6
1786587093.588113,3574.1,397.0,4407.0,8378.1,400.6
1786587093.687997,3574.1,397.0,4407.0,8378.1,400.0
1786587093.787938,3575.5,397.0,4407.0,8379.5,400.0
1786587093.888013,3575.5,397.0,4407.0,8379.5,400.6
1786587093.987986,3575.5,397.0,4407.0,8379.5,400.6
1786587094.088039,3575.5,397.0,4407.0,8379.5,400.6
1786587094.187973,3575.5,397.0,4407.0,8379.5,400.6
1786587094.287980,3575.5,397.0,4407.0,8379.5,400.0
1786587094.388013,3575.5,397.1,4407.0,8379.7,400.6
1786587094.488109,3575.5,397.0,4407.0,8379.5,400.6
1786587094.588058,3575.5,397.0,4407.0,8379.5,400.6
1786587094.688016,3575.5,397.1,4407.0,8379.7,400.6
1786587094.787976,3575.5,397.1,4407.0,8379.7,400.0
1786587094.888020,3575.5,397.1,4407.0,8379.7,400.0
1786587094.987981,3575.5,397.1,4407.0,8379.7,400.0
1786587095.087972,3575.5,397.1,4407.0,8379.7,400.0
1786587095.187953,3575.5,397.1,4407.0,8379.7,400.6
1786587095.288427,3972.8,793.9,4407.0,9173.8,500.8
1786587095.388223,3972.8,793.9,4507.2,9273.9,500.8
1786587095.488195,3972.8,1190.9,4607.4,9771.0,601.0
1786587095.588477,3972.8,1190.9,4607.4,9771.0,601.0
1786587095.688234,3972.8,1190.9,4607.4,9771.0,601.0
1786587095.787941,3972.8,1190.9,4607.4,9771.0,500.0
1786587095.887907,3972.8,793.9,4507.2,9273.9,500.0
1786587095.987957,3972.8,793.9,4507.2,9273.9,500.0
1786587096.088014,3574.1,793.9,4507.2,8875.2,400.0
1786587096.187968,3574.1,793.9,4407.0,8775.0,400.6
1786587096.287968,3972.8,793.9,4407.0,9173.8,400.6
1786587096.387989,3575.5,793.9,4407.0,8776.5,400.0
1786587096.488125,3575.5,793.9,4407.0,8776.5,400.6
1786587096.588062,3972.8,397.0,4407.0,8776.8,400.0
1786587096.688001,3574.1,397.0,4407.0,8378.1,400.6
1786587096.787999,3971.2,397.0,4407.0,8775.2,400.0
1786587096.887974,3574.1,397.0,4407.0,8378.1,400.6
1786587096.987977,3574.1,397.0,4407.0,8378.1,400.6
1786587097.087976,3574.1,397.0,4407.0,8378.1,400.6
1786587097.187972,3574.1,397.0,4407.0,8378.1,400.0
1786587097.287969,3574.1,397.0,4407.0,8378.1,400.6
1786587097.388030,3971.2,397.0,4407.0,8775.2,400.6
1786587097.487966,3574.1,397.0,4407.0,8378.1,400.6
1786587097.587988,3574.1,397.0,4407.0,8378.1,400.6
1786587097.687983,3575.5,397.0,4407.0,8379.5,400.6
1786587097.788203,3575.5,397.0,4407.0,8379.5,400.6
1786587097.888002,3575.5,397.0,4407.0,8379.5,400.6
1786587097.987934,3575.5,397.0,4407.0,8379.5,400.6
1786587098.088003,3575.5,397.1,4407.0,8379.7,400.6
1786587098.187958,3575.5,397.0,4407.0,8379.5,400.6
1786587098.287965,3575.5,397.0,4407.0,8379.5,400.6
1786587098.388011,3575.5,397.0,4407.0,8379.5,400.6
1786587098.488186,3575.5,397.0,4407.0,8379.5,400.6
1786587098.588094,3575.5,397.0,4407.0,8379.5,400.6
1786587098.687990,3575.5,397.0,4407.0,8379.5,400.6
1786587098.788005,3575.5,397.0,4407.0,8379.5,400.0
1786587098.888014,3575.5,397.0,4407.0,8379.5,400.6
1786587098.988059,3575.5,397.0,4407.0,8379.5,400.0
1786587099.088004,3575.5,397.0,4407.0,8379.5,400.6
1786587099.187975,3575.5,397.0,4407.0,8379.5,400.6
1786587099.287964,3575.5,397.0,4407.0,8379.5,400.6
1786587099.388017,3575.5,397.0,4407.0,8379.5,400.6
1786587099.487957,3575.5,397.0,4407.0,8379.5,400.6
1786587099.588005,3972.8,397.0,4407.0,8776.8,400.6
1786587099.687957,3575.5,397.0,4407.0,8379.5,400.6
1786587099.787968,3575.5,397.0,4407.0,8379.5,400.6
1786587099.887939,3575.5,397.0,4407.0,8379.5,400.0
1786587099.988289,3972.8,793.9,4407.0,9173.8,400.6
1786587100.088078,3575.5,397.0,4407.0,8379.5,400.6
1786587100.187942,3575.5,397.0,4407.0,8379.5,400.6
1786587100.287936,3972.8,397.0,4407.0,8776.8,400.6
1786587100.388007,3575.5,397.0,4407.0,8379.5,400.6
1786587100.488103,3575.5,397.0,4407.0,8379.5,400.6
1786587100.588024,3575.5,397.0,4407.0,8379.5,400.0
1786587100.687954,3575.5,397.0,4407.0,8379.5,400.0
1786587100.788249,3972.8,793.9,4407.0,9173.8,400.6
1786587100.888148,3972.8,793.9,4507.2,9273.9,500.8
1786587100.988326,3972.8,1190.9,4607.4,9771.0,601.0
1786587101.088326,3972.8,1190.9,4607.4,9771.0,601.0
1786587101.187983,3972.8,1190.9,4607.4,9771.0,601.0
1786587101.287949,3972.8,793.9,4507.2,9273.9,500.0
1786587101.388005,3972.8,793.9,4507.2,9273.9,500.0
1786587101.487929,3575.5,793.9,4507.2,8876.6,400.0
1786587101.587943,3972.8,793.9,4407.0,9173.8,400.6
1786587101.687996,3575.5,793.9,4407.0,8776.5,400.6
1786587101.787995,3575.5,793.9,4407.0,8776.5,400.6
1786587101.887990,3575.5,793.9,4407.0,8776.5,400.0
1786587101.987988,3575.5,397.1,4407.0,8379.7,400.6
1786587102.088050,3575.5,397.1,4407.0,8379.7,400.0
1786587102.188039,3972.8,397.1,4407.0,8777.0,400.6
1786587102.288253,3575.5,794.2,4407.0,8776.8,400.0
1786587102.388111,3972.8,397.1,4407.0,8777.0,400.6
1786587102.488203,3575.5,794.2,4407.0,8776.8,400.0
1786587102.588067,3575.5,397.1,4407.0,8379.7,400.0
1786587102.687962,3575.5,397.1,4407.0,8379.7,400.6
1786587102.787948,3575.5,397.1,4407.0,8379.7,400.6
1786587102.887959,3575.5,397.1,4407.0,8379.7,400.6
1786587102.987966,3972.8,397.0,4407.0,8776.8,400.6
1786587103.088091,3575.5,397.0,4407.0,8379.5,400.6
1786587103.187945,3575.5,397.0,4407.0,8379.5,400.6
1786587103.288047,3972.8,397.0,4407.0,8776.8,400.6
1786587103.388247,3972.8,397.0,4407.0,8776.8,400.6
1786587103.487969,3575.5,397.0,4407.0,8379.5,400.0
1786587103.587966,3575.5,397.0,4407.0,8379.5,400.0
1786587103.688110,3575.5,397.0,4407.0,8379.5,400.0
1786587103.788009,3575.5,397.0,4407.0,8379.5,400.6
1786587103.887954,3972.8,397.0,4407.0,8776.8,400.6
1786587103.987953,3972.8,397.0,4407.0,8776.8,400.0
1786587104.088004,3575.5,397.0,4407.0,8379.5,400.0
1786587104.187941,3575.5,397.0,4407.0,8379.5,400.6
1786587104.287968,3575.5,397.0,4407.0,8379.5,400.0
1786587104.388307,3972.8,793.9,4407.0,9173.8,500.8
1786587104.488251,3972.8,793.9,4407.0,9173.8,500.8
1786587104.588138,3972.8,794.2,4407.0,9174.1,400.6
1786587104.687989,3972.8,793.9,4407.0,9173.8,400.0
1786587104.787960,3972.8,793.9,4407.0,9173.8,400.6
1786587104.887932,3575.5,793.9,4407.0,8776.5,400.6
1786587104.987984,3575.5,397.0,4407.0,8379.5,400.6
1786587105.087942,3575.5,397.1,4407.0,8379.7,400.6
1786587105.187920,3575.5,397.1,4407.0,8379.7,400.0
1786587105.288558,3972.8,794.2,4407.0,9174.1,400.6
1786587105.388157,3575.5,794.2,4407.0,8776.8,400.6
1786587105.487931,3575.5,794.2,4407.0,8776.8,400.6
1786587105.587936,3972.8,397.1,4407.0,8777.0,400.0
1786587105.687968,3575.5,397.1,4407.0,8379.7,400.0
1786587105.787990,3575.5,397.1,4407.0,8379.7,400.6
1786587105.887963,3575.5,397.1,4407.0,8379.7,400.6
1786587105.987963,3972.8,397.1,4407.0,8777.0,400.0
1786587106.088015,3575.5,397.1,4407.0,8379.7,400.0
1786587106.187930,3575.5,397.0,4407.0,8379.5,400.6
1786587106.288283,3972.8,793.9,4407.0,9173.8,400.6
1786587106.388204,3972.8,793.9,4507.2,9273.9,500.8
1786587106.488287,3972.8,1190.9,4607.4,9771.0,601.0
1786587106.588503,3972.8,1190.9,4607.4,9771.0,601.0
1786587106.688221,3972.8,1191.4,4607.4,9771.5,601.0
1786587106.788028,3972.8,794.2,4507.2,9274.2,500.8
1786587106.887974,3972.8,794.2,4507.2,9274.2,500.8
1786587106.988096,3575.5,794.2,4507.2,8877.0,500.0
1786587107.087977,3972.8,793.9,4507.2,9273.9,400.6
1786587107.187926,3575.5,793.9,4407.0,8776.5,400.6
1786587107.287906,3575.5,793.9,4407.0,8776.5,400.0
1786587107.388017,3575.5,793.9,4407.0,8776.5,400.6
1786587107.487971,3575.5,397.0,4407.0,8379.5,400.6
1786587107.587959,3575.5,397.0,4407.0,8379.5,400.0
1786587107.687996,3575.5,397.0,4407.0,8379.5,400.0
1786587107.787960,3575.5,397.0,4407.0,8379.5,400.6
1786587107.887950,3575.5,397.0,4407.0,8379.5,400.6
1786587107.987942,3575.5,397.0,4407.0,8379.5,400.6
1786587108.088021,3575.5,397.0,4407.0,8379.5,400.6
1786587108.187959,3575.5,397.0,4407.0,8379.5,400.6
1786587108.287948,3575.5,397.0,4407.0,8379.5,400.6
1786587108.388044,3575.5,397.0,4407.0,8379.5,400.6
1786587108.488171,3575.5,397.0,4407.0,8379.5,400.0
1786587108.588093,3575.5,397.0,4407.0,8379.5,400.6
1786587108.688025,3575.5,397.0,4407.0,8379.5,400.6
1786587108.788271,3971.2,397.0,4407.0,8775.2,400.6
1786587108.887949,3574.1,397.0,4407.0,8378.1,400.6
1786587108.987946,3574.1,397.0,4407.0,8378.1,400.6
1786587109.087939,3574.1,397.0,4407.0,8378.1,400.6
1786587109.187944,3575.5,397.0,4407.0,8379.5,400.6
1786587109.287967,3575.5,397.0,4407.0,8379.5,400.6
1786587109.388095,3575.5,397.0,4407.0,8379.5,400.6
1786587109.487945,3575.5,397.0,4407.0,8379.5,400.6
1786587109.587918,3575.5,397.0,4407.0,8379.5,400.6
1786587109.688015,3575.5,397.0,4407.0,8379.5,400.6
1786587109.787934,3575.5,397.0,4407.0,8379.5,400.6
1786587109.887982,3575.5,397.0,4407.0,8379.5,400.6
1786587109.988022,3575.5,397.0,4407.0,8379.5,400.6
1786587110.088036,3575.5,397.0,4407.0,8379.5,400.6
1786587110.187950,3574.1,397.0,4407.0,8378.1,400.0
1786587110.287994,3574.1,397.0,4407.0,8378.1,400.6
1786587110.388217,3574.1,397.0,4407.0,8378.1,400.6
1786587110.488177,3971.2,397.0,4407.0,8775.2,400.0
1786587110.588083,3575.5,397.0,4407.0,8379.5,400.6
1786587110.688024,3575.5,397.0,4407.0,8379.5,400.6
1786587110.788064,3972.8,397.0,4407.0,8776.8,400.6
1786587110.888009,3575.5,397.0,4407.0,8379.5,400.6
1786587110.988343,3972.8,397.0,4407.0,8776.8,400.6
1786587111.088137,3575.5,397.0,4407.0,8379.5,400.6
1786587111.187973,3575.5,397.1,4407.0,8379.7,400.6
1786587111.287980,3575.5,397.1,4407.0,8379.7,400.0
1786587111.388096,3575.5,397.1,4407.0,8379.7,400.0
1786587111.487950,3575.5,397.1,4407.0,8379.7,400.0
1786587111.587936,3575.5,397.1,4407.0,8379.7,400.6
1786587111.688001,3575.5,397.0,4407.0,8379.5,400.6
1786587111.788337,3972.8,793.9,4407.0,9173.8,400.6
1786587111.888190,3972.8,793.9,4507.2,9273.9,500.8
1786587111.988331,3972.8,1190.9,4607.4,9771.0,601.0
1786587112.088809,3972.8,1190.9,4607.4,9771.0,601.0
1786587112.187965,3972.8,1190.9,4607.4,9771.0,601.0
1786587112.287909,3972.8,794.2,4507.2,9274.2,500.8
1786587112.387924,3972.8,793.9,4507.2,9273.9,500.0
1786587112.488106,3972.8,793.9,4507.2,9273.9,500.8
1786587112.587995,3972.8,793.9,4407.0,9173.8,400.6
1786587112.687946,3972.8,793.9,4407.0,9173.8,400.6
1786587112.787936,3972.8,793.9,4407.0,9173.8,400.6
1786587112.887931,3574.1,397.0,4407.0,8378.1,400.6
1786587112.987926,3574.1,397.0,4407.0,8378.1,400.0
1786587113.088001,3574.1,397.0,4407.0,8378.1,400.6
1786587113.187910,3574.1,397.0,4407.0,8378.1,400.0
1786587113.288181,3574.1,397.0,4407.0,8378.1,400.6
1786587113.388041,3574.1,397.0,4407.0,8378.1,400.6
1786587113.488036,3575.5,397.0,4407.0,8379.5,400.6
1786587113.587963,3574.1,397.0,4407.0,8378.1,400.6
1786587113.688035,3574.1,397.0,4407.0,8378.1,400.6
1786587113.788003,3574.1,397.0,4407.0,8378.1,400.6
1786587113.887975,3574.1,397.0,4407.0,8378.1,400.6
1786587113.987950,3574.1,397.0,4407.0,8378.1,400.6
1786587114.088007,3574.1,397.0,4407.0,8378.1,400.6
1786587114.187971,3574.1,397.0,4407.0,8378.1,400.6
1786587114.287980,3574.1,397.0,4407.0,8378.1,400.6
1786587114.387956,3574.1,397.0,4407.0,8378.1,400.0
1786587114.488128,3574.1,397.0,4407.0,8378.1,400.6
1786587114.588038,3574.1,397.0,4407.0,8378.1,400.0
1786587114.687990,3574.1,397.0,4407.0,8378.1,400.6
1786587114.788005,3574.1,397.0,4407.0,8378.1,400.6
1786587114.888007,3574.1,397.0,4407.0,8378.1,400.6
1786587114.987978,3574.1,397.0,4407.0,8378.1,400.6
1786587115.088098,3575.5,397.0,4407.0,8379.5,400.6
1786587115.187967,3575.5,397.0,4407.0,8379.5,400.6
1786587115.287986,3575.5,397.0,4407.0,8379.5,400.0
1786587115.388279,3972.8,793.9,4407.0,9173.8,400.6
1786587115.488289,3972.8,793.9,4407.0,9173.8,400.6
1786587115.588009,3575.5,793.9,4407.0,8776.5,400.0
1786587115.688011,3575.5,397.1,4407.0,8379.7,400.6
1786587115.787898,3575.5,397.1,4407.0,8379.7,400.0
1786587115.887906,3575.5,397.1,4407.0,8379.7,400.0
1786587115.987950,3575.5,397.1,4407.0,8379.7,400.6
1786587116.087970,3575.5,397.0,4407.0,8379.5,400.0
1786587116.187951,3575.5,397.0,4407.0,8379.5,400.0
1786587116.287981,3575.5,397.0,4407.0,8379.5,400.6
1786587116.388001,3575.5,397.0,4407.0,8379.5,400.0
1786587116.488153,3575.5,397.0,4407.0,8379.5,400.6
1786587116.588039,3575.5,397.0,4407.0,8379.5,400.6
1786587116.687973,3574.1,397.0,4407.0,8378.1,400.0
1786587116.787966,3971.2,397.0,4407.0,8775.2,400.6
1786587116.887980,3971.2,397.0,4407.0,8775.2,400.6
1786587116.988015,3574.1,397.0,4407.0,8378.1,400.6
1786587117.087981,3574.1,397.0,4407.0,8378.1,400.0
1786587117.187972,3574.1,397.0,4407.0,8378.1,400.0
1786587117.288280,3971.2,793.9,4407.0,9172.2,400.6
1786587117.388173,3971.2,793.9,4507.2,9272.3,500.8
1786587117.488234,3971.2,793.9,4607.4,9372.5,601.0
1786587117.588347,3971.2,1190.9,4607.4,9769.4,601.0
1786587117.688241,3971.2,1190.9,4607.4,9769.4,601.0
1786587117.787928,3972.8,793.9,4507.2,9273.9,500.8
1786587117.887985,3972.8,793.9,4507.2,9273.9,500.8
1786587117.987929,3972.8,793.9,4507.2,9273.9,500.8
1786587118.087968,3972.8,793.9,4507.2,9273.9,400.6
1786587118.187979,3575.5,793.9,4407.0,8776.5,400.6
1786587118.288013,3972.8,793.9,4407.0,9173.8,400.6
1786587118.388027,3575.5,793.9,4407.0,8776.5,400.6
1786587118.488205,3575.5,793.9,4407.0,8776.5,400.6
1786587118.588091,3972.8,397.0,4407.0,8776.8,400.0
1786587118.688049,3575.5,397.0,4407.0,8379.5,400.6
1786587118.788009,3575.5,397.0,4407.0,8379.5,400.6
1786587118.888011,3575.5,397.0,4407.0,8379.5,400.6
1786587118.987973,3575.5,397.0,4407.0,8379.5,400.6
1786587119.088007,3575.5,397.0,4407.0,8379.5,400.0
1786587119.187994,3972.8,397.0,4407.0,8776.8,400.6
1786587119.287981,3575.5,397.0,4407.0,8379.5,400.0
1786587119.387968,3575.5,397.0,4407.0,8379.5,400.6
1786587119.488003,3972.8,397.0,4407.0,8776.8,400.6
1786587119.587991,3575.5,397.0,4407.0,8379.5,400.6
1786587119.688068,3575.5,397.0,4407.0,8379.5,400.6
1786587119.788312,3972.8,397.0,4407.0,8776.8,400.6
1786587119.888085,3575.5,397.0,4407.0,8379.5,400.6
1786587119.988023,3575.5,397.0,4407.0,8379.5,400.6
1786587120.088081,3575.5,397.0,4407.0,8379.5,400.0
1786587120.188004,3575.5,397.0,4407.0,8379.5,400.6
1786587120.288074,3972.8,397.0,4407.0,8776.8,400.6
1786587120.388015,3575.5,397.0,4407.0,8379.5,400.0
1786587120.488122,3972.8,397.0,4407.0,8776.8,400.6
1786587120.588029,3574.1,397.0,4407.0,8378.1,400.0
1786587120.688000,3971.2,397.0,4407.0,8775.2,400.6
1786587120.788000,3971.2,397.0,4407.0,8775.2,400.6
1786587120.887987,3574.1,397.0,4407.0,8378.1,400.6
1786587120.987979,3574.1,397.0,4407.0,8378.1,400.0
1786587121.088018,3574.1,397.0,4407.0,8378.1,400.0
1786587121.187963,3574.1,397.0,4407.0,8378.1,400.0
1786587121.287986,3575.5,397.0,4407.0,8379.5,400.6
1786587121.387993,3575.5,397.0,4407.0,8379.5,400.6
1786587121.488034,3575.5,397.0,4407.0,8379.5,400.6
1786587121.588072,3575.5,397.0,4407.0,8379.5,400.6
1786587121.688038,3575.5,397.0,4407.0,8379.5,400.6
1786587121.787968,3971.2,397.0,4407.0,8775.2,400.6
1786587121.887966,3574.1,397.0,4407.0,8378.1,400.0
1786587121.988191,3971.2,397.0,4407.0,8775.2,400.6
1786587122.088146,3971.2,397.0,4407.0,8775.2,400.6
1786587122.187928,3971.2,397.0,4407.0,8775.2,400.6
1786587122.287939,3971.2,397.0,4407.0,8775.2,400.0
1786587122.387938,3971.2,397.0,4407.0,8775.2,400.0
1786587122.488176,3574.1,397.0,4407.0,8378.1,400.6
1786587122.588077,3971.2,397.0,4407.0,8775.2,400.6
1786587122.687975,3971.2,397.0,4407.0,8775.2,400.6
1786587122.788240,3971.2,793.9,4407.0,9172.2,400.6
1786587122.888197,3971.2,793.9,4507.2,9272.3,500.8
1786587122.988249,3971.2,793.9,4607.4,9372.5,601.0
1786587123.088409,3972.8,1190.9,4607.4,9771.0,601.0
1786587123.188196,3972.8,1191.4,4607.4,9771.5,601.0
1786587123.288173,3972.8,794.2,4507.2,9274.2,500.0
1786587123.387936,3972.8,794.2,4507.2,9274.2,500.8
1786587123.488173,3972.8,794.2,4507.2,9274.2,500.8
1786587123.587938,3972.8,794.2,4507.2,9274.2,400.6
1786587123.688420,3972.8,794.2,4407.0,9174.1,400.6
1786587123.787985,3575.5,794.2,4407.0,8776.8,400.6
1786587123.887980,3972.8,794.2,4407.0,9174.1,400.6
1786587123.987987,3575.5,397.0,4407.0,8379.5,400.6
1786587124.087976,3575.5,397.0,4407.0,8379.5,400.0
1786587124.187962,3575.5,397.0,4407.0,8379.5,400.6
1786587124.288207,3972.8,793.9,4407.0,9173.8,400.6
1786587124.388189,3575.5,397.0,4407.0,8379.5,400.6
